"Auction";"From";"To";"Car";"Motorcycle"
;"CRASHEDTOYS MINNEAPOLIS - Minnesota - Copart";"Chicago";$400.00;$300.00
;"DALLAS - Texas - Copart";"Houston";$225.00;$185.00
;"DALLAS SOUTH - Texas - Copart";"Houston";$225.00;
;"DANVILLE - Virginia - Copart";"Norfolk";$275.00;$225.00
;"DAVENPORT - Iowa - Copart";"Chicago";$250.00;$250.00
;"DAYTON - Ohio - Copart";"Chicago";$400.00;$275.00
;"DENVER - Colorado - Copart";"Houston";$550.00;
;"DENVER CENTRAL - Colorado - Copart";"Houston";$550.00;
;"DENVER SOUTH - Colorado - Copart";"Houston";$550.00;
;"DES MOINES - Iowa - Copart";"Chicago";$300.00;$225.00
;"DETROIT - Michigan - Copart";"Chicago";$325.00;$275.00
;"EL PASO - Texas - Copart";"Houston";$425.00;
;"EUGENE - Oregon - Copart";"Seattle";$275.00;
;"EXETER - Rhode Island - Copart";"New York";$350.00;$275.00
;"FAYETTEVILLE - Arkansas - Copart";"Houston";$450.00;
;"FLINT - Michigan - Copart";"Chicago";$375.00;$275.00
;"FORT WAYNE - Indiana - Copart";"Chicago";$250.00;$250.00
;"FRESNO - California - Copart";"Los Angeles";$300.00;$250.00
;"FT. PIERCE - Florida - Copart";"Miami";$180.00;$180.00
;"FT. WORTH - Texas - Copart";"Houston";$225.00;
;"GLASSBORO EAST - New Jersey - Copart";"New York";$175.00;$150.00
;"GRAHAM - Washington - Copart";"Seattle";$125.00;
;"GREER - South Carolina - Copart";"Savannah";$275.00;$200.00
;"HAMMOND - Indiana - Copart";"Chicago";$100.00;$100.00
;"HAMPTON - Virginia - Copart";"Norfolk";$150.00;
;"HARRISBURG - Pennsylvania - Copart";"New York";$275.00;$225.00
;"HARTFORD - Connecticut - Copart";"New York";$250.00;$175.00
;"HAYWARD - California - Copart";"Los Angeles";$375.00;$250.00
;"HELENA - Montana - Copart";"Seattle";$600.00;
;"HOUSTON - Texas - Copart";"Houston";$180.00;
;"INDIANAPOLIS - Indiana - Copart";"Chicago";$200.00;$200.00
;"IONIA - Michigan - Copart";"Chicago";$325.00;$250.00
;"JACKSON - Mississippi - Copart";"Houston";$400.00;
;"JACKSONVILLE EAST - Florida - Copart";"Savannah";$175.00;$150.00
;"JACKSONVILLE WEST - Florida - Copart";"Savannah";$175.00;$175.00
;"KANSAS CITY - Kansas - Copart";"Chicago";$350.00;$275.00
;"KNOXVILLE - Tennessee - Copart";"Savannah";$350.00;$300.00
;"LANSING - Michigan - Copart";"Chicago";$325.00;$250.00
